type;price;priсePerEarthsquare;houseSquare;earthSquare;floors;place;URL
house;13500000;79412;170;6.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/215784934/
house;13500000;38028;355;10.7;3;Киевское шоссе;https://www.cian.ru/sale/suburban/264897138/
cottage;13500000;81325;166;8.5;2;Киевское шоссе;https://www.cian.ru/sale/suburban/264953388/
cottage;13500000;90000;150;7.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/264507467/
house;13500000;93103;145;14.0;2;Косинское шоссе;https://www.cian.ru/sale/suburban/261515609/
house;13800000;86250;160;8.23;2;Калужское шоссе;https://www.cian.ru/sale/suburban/262474072/
house;13900000;77222;180;10.6;2;Калужское шоссе;https://www.cian.ru/sale/suburban/263747048/
house;13890000;63136;220;12.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/261917270/
house;13800000;50182;275;12.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/241154917/
cottage;14000000;56000;250;12.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/264083734/
house;13990000;46633;300;18.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/263103831/
house;13950000;77500;180;8.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264738563/
cottage;14000000;96552;145;5.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/265032733/
cottage;14000000;39326;356;8.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/265115717/
house;14000000;148936;94;23.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/261426255/
cottage;14500000;16292;890;15.0;4;Киевское шоссе;https://www.cian.ru/sale/suburban/262622576/
house;14500000;120833;120;8.27;2;Калужское шоссе;https://www.cian.ru/sale/suburban/263150313/
house;14500000;79670;182;11.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264570316/
house;14400000;66667;216;7.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/260039981/
house;14500000;41429;350;24.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/255507197/
cottage;14500000;120833;120;8.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/264349645/
cottage;14500000;120833;120;8.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264545029/
cottage;14500000;120833;120;8.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/229219301/
